Team,Total Minutes Played,Total Games Missed,Total Days Missed,Average Shooting Accuracy %,Total Big Chances Missed,Total Saves,Total Penalties Saved,Total High Claims,Total Sweeper Clearances,Total Throw Outs,Total Goal Kicks,Total Duels Won,Total Duels Lost,Total Passes
Team A,34997.0,144,645,18.125,66,57,0,22,33,137,114,1300.0,1002,25685
Team B,33224.0,171,765,21.555555555555557,73,83,0,11,11,140,116,1266.0,1124,19870
Team C,35167.0,104,464,17.5625,53,46,1,35,18,159,96,1230.0,1174,19617
Team D,34362.0,190,848,15.470588235294118,108,128,1,35,27,184,240,1405.0,1194,20353
Team E,32906.0,203,908,16.41176470588235,99,148,6,26,20,153,194,1072.0,877,14897
Team F,30704.0,148,663,13.0,18,110,0,30,31,193,201,1109.0,975,17889
Team G,32502.0,197,883,17.41176470588235,42,83,8,11,140,11,116,1080.0,976,16342
Team H,33825.0,116,517,19.488666666666667,46,95,0,42,37,157,159,1255.0,1206,14646
Team I,30230.0,88,392,13.333333333333334,26,138,2,20,4,144,219,1443.0,1204,11551
Team J,34680.0,219,981,19.27777777777778,27,58,0,2,11,52,105,1549.0,1274,14244
Team K,35133.0,175,784,18.944444444444443,24,134,0,16,19,167,201,1279.0,1085,17900
Team L,32709.0,89,397,17.923076923076923,23,121,0,6,26,141,273,1440.56,1162,11746
Team M,32770.0,237,1059,20.42105263157895,88,65,8,18,70,181,72,1022.49,847,19702
Team N,30841.0,124,554,14.466666666666667,18,115,1,20,16,154,223,1568.0,1562,14689
Team O,29048.0,102,456,19.615384615384617,17,134,0,37,15,190,253,1200.56,1065,12515
Team P,32254.0,154,690,22.75,58,115,0,40,17,131,289,1425.0,1244,13218
Team Q,30159.0,210,941,15.764705882352942,27,93,0,39,12,150,229,1237.9,1046,10706
Team R,32352.0,203,909,16.058823529411764,20,145,0,15,32,150,341,1249.0,1064,11628
Team S,27869.0,187,837,21.133333333333333,29,106,0,25,20,162,198,956.0,803,12145
Team T,22523.0,148,664,28.833333333333332,19,133,0,26,28,101,262,821.0,783,7614
